ball_confidence,frame,homography_quality,homography_valid,pitch_confidence,pitch_keypoints_valid,player_confidence,player_count,team_accuracy
0.0,0,0.9345905,True,0.3510217070579529,13,0.887122392654419,21,0.0
0.0,2,0.938315,True,0.35570910573005676,13,0.8590675592422485,22,0.0
0.0,4,0.9485142,True,0.36930954456329346,13,0.8712663054466248,22,0.0
0.8418780565261841,6,0.95597714,True,0.38020360469818115,13,0.8888381719589233,21,0.0
0.835757851600647,8,0.96346027,True,0.3922797441482544,13,0.8541234731674194,22,0.0
0.8282393217086792,10,0.9662056,True,0.42168986797332764,14,0.8873174786567688,21,0.0
0.8198436498641968,12,0.96875745,True,0.42674797773361206,14,0.881554365158081,21,0.0
0.8350532650947571,14,0.97122127,True,0.432246595621109,14,0.8815441131591797,21,0.0
0.6992988586425781,16,0.9660917,True,0.41772884130477905,14,0.8930543065071106,21,0.0
0.8268793821334839,18,0.96737576,True,0.4198570251464844,14,0.8874289393424988,21,0.0
0.8258000016212463,20,0.9664275,True,0.4185175895690918,14,0.8914095759391785,21,0.0
0.0,22,0.9672474,True,0.42008358240127563,14,0.8948068022727966,21,0.0
0.8245958089828491,24,0.9684601,True,0.4223695993423462,14,0.889956533908844,21,0.0
0.8453497886657715,26,0.96896213,True,0.4235091805458069,14,0.8913945555686951,21,0.0
0.0,28,0.9692969,True,0.4240959882736206,14,0.8796212077140808,21,0.0
0.0,30,0.9702833,True,0.42592528462409973,14,0.881344199180603,20,0.0
0.7513870596885681,32,0.9713113,True,0.42799460887908936,14,0.8657266497612,21,0.0
0.6343075633049011,34,0.97206444,True,0.429453045129776,14,0.8853646516799927,21,0.0
0.0,36,0.9721125,True,0.4296347498893738,14,0.8895170092582703,21,0.0
0.0,38,0.97225904,True,0.42983296513557434,14,0.8932477831840515,21,0.0
0.0,40,0.9725702,True,0.4304545223712921,14,0.8941584825515747,21,0.0
0.0,42,0.9731913,True,0.43171846866607666,14,0.8936226963996887,21,0.0
0.0,44,0.9737937,True,0.43315589427948,14,0.8915342688560486,21,0.0
0.3106660842895508,46,0.97478014,True,0.4351608157157898,14,0.8875607252120972,21,0.0
0.4652181565761566,48,0.9753533,True,0.43648505210876465,14,0.8873823285102844,21,0.0
0.3295018970966339,50,0.9759833,True,0.438248872756958,14,0.8880204558372498,21,0.0
0.8324168920516968,52,0.9772793,True,0.44128915667533875,14,0.8656620383262634,22,0.0
0.0,54,0.97459203,True,0.4436491131782532,14,0.8901907801628113,21,0.0
0.839239239692688,56,0.9697098,True,0.4459184408187866,14,0.8884234428405762,21,0.0
0.29948949813842773,58,0.96440905,True,0.4468839764595032,14,0.8889397382736206,21,0.0
0.0,60,0.9718881,True,0.47318923473358154,16,0.8875748515129089,21,0.0
0.0,62,0.9719179,True,0.4732506275177002,16,0.8838431239128113,21,0.0
0.29376620054244995,64,0.9720866,True,0.4735216200351715,16,0.8813048005104065,21,0.0
0.563450276851654,66,0.9722972,True,0.4738430976867676,16,0.8869561553001404,21,0.0
0.823326587677002,68,0.9722635,True,0.47382861375808716,16,0.8882078528404236,21,0.0
0.8321727514266968,70,0.97212154,True,0.47360318899154663,16,0.8890219330787659,21,0.0
0.8407396674156189,72,0.9720414,True,0.473490834236145,16,0.8834999799728394,21,0.0
0.8343598246574402,74,0.9719883,True,0.4734225869178772,16,0.8842085003852844,21,0.0
0.8369230031967163,76,0.971592,True,0.47284507751464844,16,0.8621864318847656,22,0.0
0.8344814777374268,78,0.9715176,True,0.47272688150405884,16,0.8813982605934143,21,0.0
0.8379285335540771,80,0.9717685,True,0.4730941951274872,16,0.883716881275177,21,0.0
0.8351532220840454,82,0.9717427,True,0.47303396463394165,16,0.8521720767021179,22,0.0
0.8213850855827332,84,0.971842,True,0.47317415475845337,16,0.8455037474632263,22,0.0
0.7385085225105286,86,0.9721246,True,0.47362011671066284,16,0.864532470703125,21,0.0
0.6475282907485962,88,0.9719794,True,0.4734095335006714,16,0.8692294359207153,21,0.0
0.4278832972049713,90,0.9720193,True,0.473478227853775,16,0.892689049243927,20,0.0
0.0,92,0.97187215,True,0.47322651743888855,16,0.8763364553451538,20,0.0
0.0,94,0.97167873,True,0.47290921211242676,16,0.8589181303977966,21,0.0
